,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
153,153,clarifi project verif process make easier decentr within team ,for clarifying the project verification process and making it easier to decentralize within the team! ,16.1,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
154,154,great job io trace ,for their great job on io and Trace ,20.0,Ramin#4479,2021-11-10T23:00:00.000Z,
155,155,bankless interview get eye giveth ,"for bankless interview, getting eyes on giveth ",23.5,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
157,157,hold giveth dapp dev ,for holding down giveth dapp dev ,23.5,Amin#2164,2021-11-06T23:00:00.000Z,
161,161,push fix need garden ,for pushing the fixes we need for Gardens! ,20.0,karmaticacid#1218,2021-11-06T23:00:00.000Z,
163,163,guid team giveconomi ,for guiding team on GIVeconomy ,16.1,karmaticacid#1218,2021-11-10T23:00:00.000Z,
165,165,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,9.0,mohammad_ranjbar_z#2709,2021-11-02T23:00:00.000Z,
169,169,jump today commun call ,for jumping into todays community call! ,11.0,Nicklas | The Way of The DAO,2021-11-06T23:00:00.000Z,
170,170,call gemini tri get giv list launch ,for call with Gemini and trying to get GIV listed after launch ,7.77,willyfox#1178,2021-11-06T23:00:00.000Z,
171,171,great team member ,for being great team members. ,2.4,mohammad_ranjbar_z#2709,2021-11-06T23:00:00.000Z,
172,172,jump today commun call ,for jumping into todays community call! ,8.33,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
174,174,push retroact fund ,for the push to do retroactive funding ,10.67,r33pich33p#6906,2021-11-06T23:00:00.000Z,
175,175,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,12.33,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
180,180,alway test featur find bug ,for always testing features and finding bugs! ,12.33,karmaticacid#1218,2021-11-10T23:00:00.000Z,
181,181,franck help push giv token gemini ,and Franck for helping push GIV token on Gemini ,6.03,willyfox#1178,2021-11-06T23:00:00.000Z,
182,182,organ daostack dao exit ,for organizing the DAOstack DAO exit! ,12.33,willyfox#1178,2021-11-06T23:00:00.000Z,
183,183,smart contract review call ,for smart contracts review call ,12.0,Amin#2164,2021-11-06T23:00:00.000Z,
184,184,help understand giv economi ,for helping me to understand giv economy ,12.0,Amin#2164,2021-11-10T23:00:00.000Z,
188,188,amaz team write featur fast ,for being an amazing team and writing features fast! ,13.0,Amin#2164,2021-11-10T23:00:00.000Z,
190,190,great posit vibe support us everywher ,for her great positive vibe and supporting us everywhere ,11.33,karmaticacid#1218,2021-11-06T23:00:00.000Z,
191,191,help review code ,for being so helpful in reviewing my code! ,5.03,mohammad_ranjbar_z#2709,2021-11-02T23:00:00.000Z,
195,195,avail rep giveth nftp dao fund releas ceremoni w rainbow roll besttttt 🙇‍♀️ ,for being available to rep Giveth at the NFTP DAO Fund Release Ceremony w Rainbow Rolls - you're the besttttt 🙇‍♀️ ,10.33,willyfox#1178,2021-11-08T23:00:00.000Z,
196,196,help understand giv economi ,for helping me to understand giv economy ,9.1,karmaticacid#1218,2021-11-10T23:00:00.000Z,
198,198,take today celebr wife birthday ,for taking today off to celebrate his wife's Birthday ,6.0,MoeNick#1374,2021-11-10T23:00:00.000Z,
200,200,quick respons test fix issu fli ,for quick responses to testing and fixing issues on the fly ,14.0,mohammad_ranjbar_z#2709,2021-11-10T23:00:00.000Z,
201,201,great job garden help us make happen ,for their great job on Gardens and helping us to make it happen ,18.05,gabi,2021-11-10T23:00:00.000Z,
206,206,push forward give block integr ,for pushing forward the giving blocks integration ,14.0,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
209,209,fix issu relat garden givgarden ,for fixing issues related to gardens and the givgarden ,2.75,gabi,2021-11-10T23:00:00.000Z,
211,211,jump giveth activ commmun member ,for jumping into Giveth and being active commmunity members! ,16.67,crusher,2021-11-06T23:00:00.000Z,
214,214,awesom call go smart contract weekend ,for the awesome call going over the smart contracts this weekend ,14.5,Amin#2164,2021-11-06T23:00:00.000Z,
216,216,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,5.0,karmaticacid#1218,2021-11-02T23:00:00.000Z,
218,218,jump giveth activ commmun member ,for jumping into Giveth and being active commmunity members! ,6.33,_lunahawk,2021-11-06T23:00:00.000Z,
219,219,jump today commun call ,for jumping into todays community call! ,7.0,JellyDiver,2021-11-06T23:00:00.000Z,
220,220,jump today commun call ,for jumping into todays community call! ,5.67,MoeNick#1374,2021-11-06T23:00:00.000Z,
222,222,jump giveth activ commmun member ,for jumping into Giveth and being active commmunity members! ,6.33,graymachine#0976,2021-11-06T23:00:00.000Z,
223,223,posit vibe ,for all the positive vibes! ,5.67,karmaticacid#1218,2021-11-06T23:00:00.000Z,
224,224,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,5.67,freshelle#9882,2021-11-02T23:00:00.000Z,
226,226,jump giveth activ commmun member ,for jumping into Giveth and being active commmunity members! ,6.33,anson parker | utc -4,2021-11-06T23:00:00.000Z,
227,227,introduc rad shapeshift giveth ,for introducing all these rad shapeshift to Giveth ,9.67,willyfox#1178,2021-11-06T23:00:00.000Z,
229,229,great team member ,for being great team members. ,8.0,Amin#2164,2021-11-06T23:00:00.000Z,
230,230,organ skill posit vibe ,for her organization skills and positive vibes ,9.67,freshelle#9882,2021-11-10T23:00:00.000Z,
231,231,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,7.0,mohammad_ranjbar_z#2709,2021-11-06T23:00:00.000Z,
236,236,hold giveth dapp dev ,for holding down giveth dapp dev ,8.0,divine_comedian#5493,2021-11-06T23:00:00.000Z,
239,239,hold giveth dapp dev ,for holding down giveth dapp dev ,8.0,mohammad_ranjbar_z#2709,2021-11-06T23:00:00.000Z,
243,243,support giveth user keep tab thing project verif continu look way improv giveth discord ,"for supporting Giveth users, for keeping tabs on all things project verification, and for continuing to look for ways to improve Giveth through the discord ",11.77,WhyldWanderer#7002,2021-11-10T23:00:00.000Z,
248,248,fast support us devop ,for fast support us on devOps ,17.0,geleeroyale#3228,2021-11-10T23:00:00.000Z,
249,249,support 😊 ,for all her support 😊 ,9.0,hanners717#2022,2021-11-01T23:00:00.000Z,
251,251,miss list 😉 lot job ,because he's missing in that list 😉 he did lots of that job ,3.67,karmaticacid#1218,2021-11-08T23:00:00.000Z,
252,252,ad gusd accept token list ,for adding gUSD to the accepted token list ,9.0,divine_comedian#5493,2021-11-06T23:00:00.000Z,
253,253,push fix need garden ,for pushing the fixes we need for Gardens! ,17.0,willjgriff 🐝,2021-11-06T23:00:00.000Z,
254,254,hold giveth dapp dev ,for holding down giveth dapp dev ,10.33,Carlos096#8712,2021-11-06T23:00:00.000Z,
260,260,miss list 😉 lot job ,because he's missing in that list 😉 he did lots of that job ,3.0,Carlos096#8712,2021-11-08T23:00:00.000Z,
261,261,smart contract review call ,for smart contracts review call ,9.0,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
262,262,great job io trace ,for their great job on io and Trace ,11.77,MoeNick#1374,2021-11-10T23:00:00.000Z,
263,263,provid inform test givback contract ,for providing information on testing the GIVback contracts ,0.4,eduadiez#9314,2021-11-06T23:00:00.000Z,
264,264,great job io trace ,for their great job on io and Trace ,9.0,Amin#2164,2021-11-10T23:00:00.000Z,
268,268,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,5.33,MoeNick#1374,2021-11-02T23:00:00.000Z,
270,270,call gemini tri get giv list launch ,for call with Gemini and trying to get GIV listed after launch ,17.0,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
272,272,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,3.33,mateodaza#3156,2021-11-02T23:00:00.000Z,
273,273,jump today commun call ,for jumping into todays community call! ,4.5,hannahjojo,2021-11-06T23:00:00.000Z,
276,276,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,2.0,Bowen,2021-11-02T23:00:00.000Z,
278,278,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,2.0,Mo 🤖#0356,2021-11-02T23:00:00.000Z,
279,279,great team member ,for being great team members. ,2.93,Ramin#4479,2021-11-06T23:00:00.000Z,
280,280,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,2.0,Rodricast#1415,2021-11-02T23:00:00.000Z,
281,281,push get comfort zone ,for pushing me get out of my comfort zone. ,10.5,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
282,282,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,5.5,Amin#2164,2021-11-02T23:00:00.000Z,
283,283,epic cat herder closer write commun project spotlight post ,"for being an epic cat herder and closer, and writing the community project spotlight post ",10.5,divine_comedian#5493,2021-11-10T23:00:00.000Z,
284,284,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,2.0,Danibelle the Uno and Only#6791,2021-11-02T23:00:00.000Z,
286,286,get call time align includ ,for getting call times aligned so that we can all be included ,6.33,karmaticacid#1218,2021-11-06T23:00:00.000Z,
287,287,amaz team write featur fast ,for being an amazing team and writing features fast! ,11.33,mateodaza#3156,2021-11-10T23:00:00.000Z,
288,288,set verifi donat email journey ,for setting up verified donation email journey ,10.5,divine_comedian#5493,2021-11-06T23:00:00.000Z,
291,291,facilit commun call ,for facilitating community calls ,7.27,WhyldWanderer#7002,2021-11-10T23:00:00.000Z,
293,293,manag project verif custom support ,for managing project verification and customer support ,11.33,WhyldWanderer#7002,2021-11-10T23:00:00.000Z,
294,294,amaz team write featur fast ,for being an amazing team and writing features fast! ,4.43,mohammad_ranjbar_z#2709,2021-11-10T23:00:00.000Z,
295,295,jump today commun call ,for jumping into todays community call! ,2.33,karmaticacid#1218,2021-11-06T23:00:00.000Z,
296,296,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,3.0,hannahjojo,2021-11-02T23:00:00.000Z,
297,297,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,3.0,divine_comedian#5493,2021-11-02T23:00:00.000Z,
298,298,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,3.0,Cherik#4711,2021-11-02T23:00:00.000Z,
299,299,great team member ,for being great team members. ,2.1,Cherik#4711,2021-11-06T23:00:00.000Z,
301,301,great dev team ,for being great dev team ,1.5,Cherik#4711,2021-11-06T23:00:00.000Z,
302,302,jump today commun call ,for jumping into todays community call! ,2.33,Danibelle the Uno and Only#6791,2021-11-06T23:00:00.000Z,
303,303,jump today commun call ,for jumping into todays community call! ,3.0,Amin#2164,2021-11-06T23:00:00.000Z,
305,305,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,1.33,WhyldWanderer#7002,2021-11-02T23:00:00.000Z,
306,306,come back ,for coming back1 ,0.17,mateodaza#3156,2021-11-06T23:00:00.000Z,
307,307,jump today commun call ,for jumping into todays community call! ,1.67,willyfox#1178,2021-11-06T23:00:00.000Z,
308,308,jump today commun call ,for jumping into todays community call! ,1.67,mateodaza#3156,2021-11-06T23:00:00.000Z,
309,309,jump today commun call ,for jumping into todays community call! ,2.33,Ramin#4479,2021-11-06T23:00:00.000Z,
311,311,come back vacat ,for coming back from vacation ,0.47,mateodaza#3156,2021-11-06T23:00:00.000Z,
313,313,come back vacat ,for coming back from vacation! ,1.67,mateodaza#3156,2021-11-06T23:00:00.000Z,
314,314,great dev team ,for being great dev team ,4.0,Amin#2164,2021-11-06T23:00:00.000Z,
317,317,jump today commun call ,for jumping into todays community call! ,1.67,crusher,2021-11-06T23:00:00.000Z,
318,318,return vacat true ,for returning from vacation (is it true??) ,0.17,mateodaza#3156,2021-11-06T23:00:00.000Z,
319,319,jump today commun call ,for jumping into todays community call! ,4.0,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
320,320,jump today commun call ,for jumping into todays community call! ,2.0,divine_comedian#5493,2021-11-06T23:00:00.000Z,
321,321,great team member ,for being great team members. ,1.67,Carlos096#8712,2021-11-06T23:00:00.000Z,
322,322,back 🙂 ,for being back 🙂 ,0.17,mateodaza#3156,2021-11-06T23:00:00.000Z,
323,323,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,4.0,geleeroyale#3228,2021-11-06T23:00:00.000Z,
324,324,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,2.33,willyfox#1178,2021-11-02T23:00:00.000Z,
326,326,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,0.5,Donna.Ofi,2021-11-02T23:00:00.000Z,
327,327,wonder human be love 💜 ,to for being wonderful human beings. I love you all 💜 ,5.0,"Griff (💜,💜)#8888",2021-11-02T23:00:00.000Z,
329,329,jump today commun call ,for jumping into todays community call! ,1.0,akahux,2021-11-06T23:00:00.000Z,
330,330,bring fun thursday game night ,for bringing some fun with Thursday game nights ,5.0,divine_comedian#5493,2021-11-10T23:00:00.000Z,
331,331,write commun spotlight ,for writing community spotlight ,8.0,divine_comedian#5493,2021-11-06T23:00:00.000Z,
332,332,alway readi test issu ,for always being ready to test issues ,7.15,divine_comedian#5493,2021-11-10T23:00:00.000Z,
333,333,test ,for testing ,1.3,divine_comedian#5493,2021-11-06T23:00:00.000Z,
334,334,give tip code react ,for giving me all the tips on coding react ,13.0,mateodaza#3156,2021-11-10T23:00:00.000Z,
335,335,test lot find edg case ,for testing a lot and finding edge cases! ,13.0,divine_comedian#5493,2021-11-06T23:00:00.000Z,
336,336,incred structur token economi ,for incredible structure on our token economy ,13.0,"Griff (💜,💜)#8888",2021-11-10T23:00:00.000Z,
337,337,jump today commun call ,for jumping into todays community call! ,1.0,Carlos096#8712,2021-11-06T23:00:00.000Z,
339,339,jump today commun call ,for jumping into todays community call! ,1.0,metaverde,2021-11-06T23:00:00.000Z,
340,340,push fix need garden ,for pushing the fixes we need for Gardens! ,21.0,gabi,2021-11-06T23:00:00.000Z,
341,341,alway test featur find bug ,for always testing features and finding bugs! ,7.15,divine_comedian#5493,2021-11-10T23:00:00.000Z,
342,0,awesom job talk giveth rainbow roll dao meet eureka street crypto decid spotlight us video transpar impact speaker ,for doing such an awesome job talking about Giveth at the Rainbow Rolls DAO meeting that Eureka Street Crypto decided to spotlight us in their video about transparency. You're such an impactful speaker!! ,55.33,willyfox#1178,2021-11-16T23:00:00.000Z,
343,1,awesom ,for being awesome ,50.67,Ramin#4479,2021-11-17T23:00:00.000Z,
344,2,,for being here! ,50.0,mateodaza#3156,2021-11-24T23:00:00.000Z,
349,7,product giveconomi comm launch plan brianstorm session ,for productive GIVeconomy comms launch plan brianstorming session ,55.0,ReForest,2021-12-07T23:00:00.000Z,
350,8,help get nrgiv token part vote instanc ,for helping get NrGiv tokens to be part of voting instances! ,56.67,divine_comedian#5493,2021-12-08T23:00:00.000Z,
351,9,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,53.47,Carlos096#8712,2021-12-08T23:00:00.000Z,
354,12,support giveconomi smart contract ,for supporting GIVeconomy smart contracts ,14.77,paxthemax#4454,2021-12-08T23:00:00.000Z,
357,15,back smart contract ,for backing up on the smart contracts ,14.77,paxthemax#4454,2021-12-01T23:00:00.000Z,
366,24,effort review smart contract step test smart contract ,for all his effort on reviewing our smart contracts and stepping up on testing smart contracts ,89.0,paxthemax#4454,2021-11-24T23:00:00.000Z,
367,25,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,3.3,karmaticacid#1218,2021-12-08T23:00:00.000Z,
369,27,get  verifi project givethio via give block integr ,for getting over 700 verified projects on Givethio via The Giving Block integration ,51.67,Carlos096#8712,2021-12-08T23:00:00.000Z,
371,29,giveconomi test today ,for GIVeconomy testing today! ,3.73,divine_comedian#5493,2021-12-09T23:00:00.000Z,
372,30,send swag 🥰 ,for sending my swags 🥰 ,31.0,willyfox#1178,2021-11-27T23:00:00.000Z,
373,31,finish givdrop video ,for finishing GIVdrop video ,7.6,graymachine#0976,2021-12-01T23:00:00.000Z,
375,33,sick look givdrop video ,for a SICK looking GIVdrop video ,18.93,graymachine#0976,2021-12-01T23:00:00.000Z,
378,36,test featur ,for testing features! ,4.4,divine_comedian#5493,2021-12-01T23:00:00.000Z,
380,38,test dapp ,for all the testing on the dapps ,8.3,divine_comedian#5493,2021-12-01T23:00:00.000Z,
381,39, flow get much much better thank ,"--- This flow gets much much better than before, thanks. ",42.0,Rodricast#1415,2021-12-08T23:00:00.000Z,
382,40, prais dev ,- PRAISE ALL DEVS!!! ,5.95,pKrepe,2021-12-08T23:00:00.000Z,
383,41,show dev team add vote dao ,for showing the dev team how to add votes in the DAO ,35.0,divine_comedian#5493,2021-12-01T23:00:00.000Z,
384,42,alway help hand test tri avail dev call everyday ,for always being a helping hand on test and trying to be available at devs call everyday.. ,35.0,divine_comedian#5493,2021-12-01T23:00:00.000Z,
385,43,great payment track ,for great payment tracking ,5.95,freshelle#9882,2021-12-08T23:00:00.000Z,
386,44,smooth payment super organ ,for being so smooth at payments and super organized ,5.95,freshelle#9882,2021-12-01T23:00:00.000Z,
391,49,support everyon payment ,and for their support on everyone's payment ,4.7,freshelle#9882,2021-12-01T23:00:00.000Z,
392,50,manag payment good commun ,for managing payments and good communication! ,4.7,freshelle#9882,2021-12-01T23:00:00.000Z,
393,51,handl pan payment time gitcoin grant ,for handling PAN payments just in time for the gitcoin grants! ,4.7,freshelle#9882,2021-12-08T23:00:00.000Z,
394,52,gather pan payment inform get sent contributor ,for gather PAN payments information and getting it sent out to contributors ,4.7,freshelle#9882,2021-12-08T23:00:00.000Z,
395,53,step test ,for stepping up on testing ,8.97,divine_comedian#5493,2021-11-24T23:00:00.000Z,
